			ClmaxDoXFLR5	Pontos da polar de arrasto (CDCL)
BOM baixo momento		2.00	0.42 0.06 1.31 0.0115 1.99 0.024

E423 arrasto reduzido		1.91	0.35 0.02 1.33 0.0130 1.90 0.020

fus2				2.10	0.35 0.02 1.00 0.0115 2.02 0.030

fus5				2.02	0.25 0.03 0.80 0.0110 2.08 0.030

Good CL Cd ratio		1.76	0.10 0.02 0.55 0.0085 1.76 0.030

opcao_aerofolio			2.25	0.52 0.06 1.00 0.0155 2.25 0.050

teste4.1.5final			1.91	0.30 0.03 0.78 0.0120 1.90 0.032

Teste_				1.96	-0.1 0.02 0.50 0.0115 1.95 0.045

TESTE09				1.49	0.18 0.02 0.26 0.0105 1.50 0.026

naca0012			1.20	-1.0 0.02 0.00 0.0070 1.00 0.020
